entity,value,synonyms
GC,Dellagiovanna Daniel,Daniel Dellagiovanna
GC,Roulin Claude,Claude Roulin
GC,Couto Armando,Armando Couto
GC,Nieto Alexandre,Alexandre Nieto
GC,Chaoui Laïla,Laila Chaoui
GC,Sotomayor André,Andre Sotomayor
GC,Do Rego Ricardo,Ricardo Do Rego
GC,Vendrell Marie,Marie Vendrell
GC,Ménétrey Yasmine,Yasmine Menetrey
GC,Angeloz Claude,Claude Angeloz
GC,Laurent Pierre-Alain,Pierre-Alain Laurent
GC,Jahija Burim,Burim Jahija
GC,Di Salvo Giuseppe,Giuseppe Di Salvo
GC,Heimo Philippe,Philippe Heimo
GC,Chappaz Marc,Marc Chappaz
GC,Barry Minkailou,Minkailou Barry
GC,Catalan Joëlle,Joelle Catalan
GC,Reolon Bruno,Bruno Reolon
GC,Albanesi Jean-François,Jean-François Albanesi
GC,Klingele Olivier,Olivier Klingele
GC,Bencker Jeanne,Jeanne Bencker
GC,Marguet Tex,Tex Marguet
GC,Delmenico Janine,Janine Delmenico
GC,Shlyapina Elena,Elena Shlyapina
GC,Mudry Yves,Yves Mudry
GC,Gostoli Gérard,Gerard Gostoli
GC,Yau Helen,Helen Yau
GC,Innocenti Flavio,Flavio Innocenti
GC,Cover Sabina,Sabina Cover
GC,Ambord Cédric,Cedric Ambord:Sandro Ambord
GC,Garcia Javier,Javier Garcia
GC,Belcastro De Luca Nathalie,Nathalie Belcastro De Luca
GC,Zbinden Jean-Luc,Jean-Luc Zbinden
GC,Ahdab Ahmad,Ahmad Ahdab:Chawki Ahdab
GC,Baiunco Aurora,Aurora Baiunco
GC,Oliveira Rui,Rui Oliveira
GC,Pastore Daniel,Daniel Pastore:Dany Pastore
GC,Draskovic Rada,Rada Draskovic
GC,Haymoz William,William Haymoz
GC,Besse Muriel,Muriel Besse
GC,Naine Marie-Josée,Marie-Josee Naine
GC,Gharbi Mohamed,Mohamed Gharbi
GC,Loosli Bertille,Bertille Loosli:Clarence Loosli
GC,Emonet Sarah,Sarah Emonet
GC,Müller Olivier,Olivier Muller
GC,Loddo Olivier,Olivier Loddo:Olivier Henrioud
GC,Ben Chaabane Salah,Salah Ben Chaabane
